"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","298","Login with valid and invalid users","ParallelSuite","Wed Jun 25 11:36:37 UTC 2025","passed","Wed Jun 25 11:36:37 UTC 2025","tests.LoginTest","LoginTests","tests.LoginTest","loginTest"
"","153","Login with valid and invalid users","ParallelSuite","Wed Jun 25 11:36:38 UTC 2025","passed","Wed Jun 25 11:36:38 UTC 2025","tests.LoginTest","LoginTests","tests.LoginTest","loginTest"
"","171","Sort items by name Z-A and validate the order","ParallelSuite","Wed Jun 25 11:36:38 UTC 2025","passed","Wed Jun 25 11:36:38 UTC 2025","tests.ProductSortingTest","ProductSortingTests","tests.ProductSortingTest","verifyProductSortingByNameDescending"
"","802","Login, select two random products, add to cart, go to cart page and proceed to checkout","ParallelSuite","Wed Jun 25 11:36:37 UTC 2025","passed","Wed Jun 25 11:36:37 UTC 2025","tests.CheckoutTest","CheckoutTests","tests.CheckoutTest","checkoutTest"
